SurveyId,Country,OptInDate,BirthYear,Age,AgeGroup,Gender,Region,District,Urban_Rural,WaterSupply_Tap,WaterSupply_Standpipe,WaterSupply_Well,WaterSupply_Bottled water/sachet,WaterSupply_Tanker,WaterSupply_Cart vendor,WaterSupply_Rainwater,WaterSupply_Spring/River,FlowDays,FlowHours,SourceLocation,WaterPay,WaterChange,WaterSupplyBefore_Tap,WaterSupplyBefore_ Standpipe,WaterSupplyBefore_Well,WaterSupplyBefore_ Bottled water/sachet,WaterSupplyBefore_Tanker,WaterSupplyBefore_Cart vendor,WaterSupplyBefore_Rainwater,WaterSupplyBefore_Spring/River,FlowDaysBefore,FlowHoursBefore,WaterPayBefore
UPS-623697375005340042,Ghana,11-17-2020,1984,36,25-40,Male,Brong-Ahafo,Wenchi,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,23,Easier,No,No,Yes,No,No,No,No,No,0,0,26
UPS-63811139090735421,Ghana,11-25-2020,1986,34,25-40,Male,Volta,Ho West,Urban area [city/town],Yes,No,No,No,No,No,No,No,1,2,In my home or compound,0,Easier,Yes,No,No,No,No,No,No,No,3,2,20
UPS411097212929993371,Ghana,11-17-2020,1995,25,25-40,Female,Northern,Nanton,Rural area [village/farm],Yes,No,No,No,No,No,No,No,2,1,Neighbor,1,Easier,No,No,No,No,No,No,No,Yes,0,0,300
UPS-2209513714466935811,Ghana,11-23-2020,2000,20,15-24,Male,Northern,Zabzugu,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,1,The same as before,No,No,No,No,No,No,No,Yes,0,0,1
UPS-7330102142745285523,Ghana,11-23-2020,1993,27,25-40,Male,Northern,West Gonja,Urban area [city/town],No,Yes,No,No,No,No,No,No,1,10,I must walk to it,0,More difficult,No,Yes,No,No,No,No,No,No,1,10,8
UPS-2640890787436679793,Ghana,11-24-2020,1988,32,25-40,Female,Volta,Ho West,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,30,Easier,No,No,No,No,No,No,No,Yes,0,0,25
UPS-8593830071915711001,Ghana,11-22-2020,1989,31,25-40,Female,Brong-Ahafo,Asutifi South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,20,More difficult,No,No,Yes,No,No,No,No,No,0,0,2
UPS-3402652811593127667,Ghana,11-23-2020,1995,25,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,200,More difficult,No,No,No,Yes,No,No,No,No,0,0,100
UPS-6325054674343942144,Ghana,11-20-2020,1993,27,25-40,Male,Northern,Nanton,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,100,Easier,Yes,No,No,No,No,No,No,No,4,8,200
UPS-4203012247880241997,Ghana,11-23-2020,1998,22,15-24,Male,Brong-Ahafo,Nkoranza South,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,20,More difficult,No,No,No,No,No,No,No,Yes,0,0,10
UPS-1498033662281096390,Ghana,11-23-2020,1993,27,25-40,Male,Brong-Ahafo,Wenchi,Rural area [village/farm],Yes,No,No,No,No,No,No,No,4,15,In my home or compound,0,Easier,Yes,No,No,No,No,No,No,No,7,15,20
UPS2719692091555375303,Ghana,11-24-2020,1992,28,25-40,Male,Northern,West Gonja,Urban area [city/town],No,No,No,No,Yes,No,No,No,0,0,Neighbor,450,The same as before,No,No,No,No,Yes,No,No,No,0,0,500
UPS762817043460131733,Ghana,11-24-2020,1995,25,25-40,Male,Northern,Sawla Tuna Kalba,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,12,The same as before,No,No,No,Yes,No,No,No,No,0,0,9
UPS5177363387565980998,Ghana,11-25-2020,1991,29,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,20,The same as before,No,No,Yes,No,No,No,No,No,0,0,20
UPS-70079562147880338,Ghana,11-17-2020,1987,33,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,40,The same as before,No,No,No,Yes,No,No,No,No,0,0,40
UPS-4302215128570855005,Ghana,11-17-2020,1993,27,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,0,The same as before,No,No,Yes,No,No,No,No,No,0,0,0
UPS6062167792045284578,Ghana,11-20-2020,1985,35,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,Yes,No,No,No,No,No,No,6,12,In my home or compound,30,Easier,No,Yes,No,No,No,No,No,No,6,20,30
UPS8425822840101155561,Ghana,11-20-2020,1985,35,25-40,Male,Volta,Ho West,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,50,The same as before,No,No,No,No,No,No,Yes,No,0,0,50
UPS-523589093668118949,Ghana,11-22-2020,1988,32,25-40,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,6,23,I must walk to it,9,The same as before,No,Yes,No,No,No,No,No,No,6,19,9
UPS-4620657958855087973,Ghana,11-19-2020,1995,25,25-40,Male,Northern,Kpandai,Urban area [city/town],No,Yes,No,No,No,No,No,No,5,5,I must walk to it,3,More difficult,No,Yes,No,No,No,No,No,No,6,15,3
UPS-1799499612981171400,Ghana,11-20-2020,1990,30,25-40,Female,Brong-Ahafo,Wenchi,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,8,In my home or compound,0,Easier,Yes,No,No,No,No,No,No,No,1,8,9
UPS-3632431785627237166,Ghana,11-18-2020,1996,24,15-24,Male,Volta,Ketu North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,Neighbor,100,Easier,No,No,No,Yes,No,No,No,No,0,0,100
UPS-840507225994356365,Ghana,11-23-2020,1996,24,15-24,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],Yes,No,No,No,No,No,No,No,5,12,I must walk to it,20,The same as before,Yes,No,No,No,No,No,No,No,5,12,20
UPS-662685655401213712,Ghana,11-19-2020,1994,26,25-40,Female,Northern,Nanton,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,400,More difficult,No,No,No,No,No,No,Yes,No,0,0,300
UPS-4669002312560188743,Ghana,11-24-2020,1982,38,25-40,Male,Northern,Tatale Sanguli,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,12,Neighbor,200,The same as before,No,No,No,No,No,No,No,Yes,0,0,100
UPS-2530836927481129170,Ghana,11-23-2020,1993,27,25-40,Male,Volta,Ho West,Rural area [village/farm],Yes,No,No,No,No,No,No,No,4,11,In my home or compound,40,Easier,Yes,No,No,No,No,No,No,No,4,11,40
UPS-6118488779363290647,Ghana,11-21-2020,1992,28,25-40,Male,Northern,Nanton,Urban area [city/town],Yes,No,No,No,No,No,No,No,2,6,In my home or compound,24,The same as before,Yes,No,No,No,No,No,No,No,2,6,38
UPS-2191963480281039118,Ghana,11-24-2020,1993,27,25-40,Female,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,20,Easier,No,No,No,No,No,No,No,Yes,0,0,20
UPS-5310405188618743059,Ghana,11-21-2020,1993,27,25-40,Male,Northern,Nanumba South,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,2,The same as before,No,No,Yes,No,No,No,No,No,0,0,30
UPS-8522791905871151043,Ghana,11-20-2020,1988,32,25-40,Male,Northern,Zabzugu,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,Neighbor,3,More difficult,No,No,No,Yes,No,No,No,No,0,0,0
UPS-470719522177991407,Ghana,11-20-2020,1991,29,25-40,Male,Northern,Zabzugu,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,30,More difficult,No,No,No,No,No,No,No,Yes,0,0,300
UPS-9093758667198426679,Ghana,11-24-2020,1997,23,15-24,Male,Northern,Kpandai,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,200,More difficult,No,No,Yes,No,No,No,No,No,0,0,200
UPS6817906877240032578,Ghana,11-24-2020,1994,26,25-40,Male,Northern,Nanumba South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,100,Easier,No,No,No,No,No,No,No,Yes,0,0,90
UPS6256713815195058119,Ghana,11-23-2020,2000,20,15-24,Male,Brong-Ahafo,Wenchi,Urban area [city/town],Yes,No,No,No,No,No,No,No,3,15,I must walk to it,70,More difficult,No,Yes,No,No,No,No,No,No,6,20,140
UPS1984640074501848153,Ghana,11-24-2020,2000,20,15-24,Male,Brong-Ahafo,Wenchi,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,15,In my home or compound,100,Easier,Yes,No,No,No,No,No,No,No,6,15,100
UPS-3234724319850547432,Ghana,11-23-2020,1994,26,25-40,Male,Volta,Ho West,Urban area [city/town],No,Yes,No,No,No,No,No,No,2,24,Neighbor,0,Easier,No,Yes,No,No,No,No,No,No,2,12,50
UPS1112286112609239149,Ghana,11-23-2020,1998,22,15-24,Female,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,Easier,No,No,No,No,No,No,No,Yes,0,0,30
UPS-588619158941607057,Ghana,11-25-2020,1990,30,25-40,Male,Northern,Nanton,Urban area [city/town],No,No,No,No,Yes,No,No,No,0,0,Neighbor,10,The same as before,No,No,Yes,No,No,No,No,No,0,0,5
UPS7528107654254747294,Ghana,11-23-2020,1999,21,15-24,Male,Northern,Nanton,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,300,More difficult,No,No,Yes,No,No,No,No,No,0,0,150
UPS-7532969876926122634,Ghana,11-24-2020,1993,27,25-40,Male,Northern,Zabzugu,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,25,The same as before,No,No,Yes,No,No,No,No,No,0,0,25
UPS-2299876293441030348,Ghana,11-23-2020,1988,32,25-40,Male,Volta,Kadjebi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,100,More difficult,No,Yes,No,No,No,No,No,No,1,24,10
UPS-7708669015284606814,Ghana,11-18-2020,1988,32,25-40,Male,Volta,Central Tongu,Urban area [city/town],Yes,No,No,No,No,No,No,No,6,12,In my home or compound,0,The same as before,Yes,No,No,No,No,No,No,No,5,5,29
UPS-3866457433216559616,Ghana,11-23-2020,1983,37,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,50,More difficult,No,No,No,No,No,Yes,No,No,0,0,30
UPS4244678913803788873,Ghana,11-25-2020,1996,24,15-24,Male,Brong-Ahafo,Dormaa West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,Neighbor,50,More difficult,No,No,No,Yes,No,No,No,No,0,0,50
UPS6276821302121498375,Ghana,11-25-2020,1980,40,25-40,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,6,24,I must walk to it,50,The same as before,No,Yes,No,No,No,No,No,No,7,24,50
UPS1227586682925694758,Ghana,11-24-2020,1992,28,25-40,Male,Northern,West Gonja,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,5,The same as before,No,No,No,No,No,No,Yes,No,0,0,5
UPS373837998337094356,Ghana,11-24-2020,1992,28,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,10,The same as before,No,Yes,No,No,No,No,No,No,7,12,40
UPS-8821905180771429702,Ghana,11-20-2020,1984,36,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],Yes,No,No,No,No,No,No,No,6,24,In my home or compound,0,Easier,No,No,Yes,No,No,No,No,No,0,0,5
UPS2748598703676814069,Ghana,11-18-2020,1992,28,25-40,Male,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,300,More difficult,Yes,No,No,No,No,No,No,No,5,9,200
UPS-8707332002333412792,Ghana,11-23-2020,1995,25,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,30,Easier,No,No,No,Yes,No,No,No,No,0,0,40
UPS670562573468543392,Ghana,11-23-2020,1974,46,40+,Male,Volta,Kadjebi,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,30,More difficult,No,No,No,Yes,No,No,No,No,0,0,10
UPS6824227569611899956,Ghana,11-24-2020,1997,23,15-24,Male,Northern,Kpandai,Rural area [village/farm],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,6,The same as before,No,No,No,Yes,No,No,No,No,0,0,6
UPS7374206261518701387,Ghana,11-19-2020,1998,22,15-24,Female,Northern,Nanton,Urban area [city/town],No,Yes,No,No,No,No,No,No,5,6,Neighbor,20,The same as before,No,Yes,No,No,No,No,No,No,7,7,15
UPS7744524572706176335,Ghana,11-17-2020,1989,31,25-40,Male,Volta,Ho West,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,Neighbor,30,More difficult,No,No,Yes,No,No,No,No,No,0,0,15
UPS-3546892199113214576,Ghana,11-23-2020,1991,29,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,Yes,No,No,No,No,No,No,6,24,In my home or compound,0,Easier,No,Yes,No,No,No,No,No,No,4,24,15
UPS-1331487554688767795,Ghana,11-20-2020,1994,26,25-40,Female,Volta,Ho West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,30,The same as before,No,No,No,Yes,No,No,No,No,0,0,30
UPS-6616724810005272758,Ghana,11-25-2020,2000,20,15-24,Female,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,40,More difficult,No,No,Yes,No,No,No,No,No,0,0,45
UPS8967010870079409758,Ghana,11-24-2020,1953,67,40+,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,20,Easier,No,No,No,Yes,No,No,No,No,0,0,15
UPS-1715197559053817650,Ghana,11-24-2020,1986,34,25-40,Female,Brong-Ahafo,Dormaa West,Urban area [city/town],Yes,No,No,No,No,No,No,No,2,24,In my home or compound,1,Easier,Yes,No,No,No,No,No,No,No,6,2,2
UPS-8255787519973534087,Ghana,11-18-2020,1990,30,25-40,Male,Northern,Nanumba South,Urban area [city/town],Yes,No,No,No,No,No,No,No,4,15,Neighbor,50,More difficult,No,Yes,No,No,No,No,No,No,5,8,60
UPS-5491877850522040410,Ghana,11-20-2020,1980,40,25-40,Male,Northern,Nanumba South,Urban area [city/town],No,No,No,No,No,No,No,Yes,0,0,Neighbor,1,More difficult,No,No,Yes,No,No,No,No,No,0,0,1
UPS-9165578625187943265,Ghana,11-20-2020,1991,29,25-40,Male,Northern,Nanton,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,25,The same as before,No,No,No,Yes,No,No,No,No,0,0,25
UPS-3854886445912149513,Ghana,11-17-2020,1995,25,25-40,Male,Northern,Kpandai,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,1,More difficult,No,No,No,No,No,No,No,Yes,0,0,1
UPS7711094297110707139,Ghana,11-21-2020,1996,24,15-24,Male,Northern,Nanton,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,300,More difficult,No,No,Yes,No,No,No,No,No,0,0,50
UPS-8890152888700044839,Ghana,11-24-2020,1995,25,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,3,The same as before,No,No,Yes,No,No,No,No,No,0,0,1
UPS6877768609142087086,Ghana,11-22-2020,1997,23,15-24,Male,Northern,Nanumba South,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,12,I must walk to it,0,More difficult,No,Yes,No,No,No,No,No,No,7,12,0
UPS5351925192846708174,Ghana,11-23-2020,1991,29,25-40,Female,Volta,Ho West,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,30,More difficult,No,No,No,No,No,No,No,Yes,0,0,20
UPS-6937815645257458951,Ghana,11-17-2020,1997,23,15-24,Female,Volta,Ho West,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,35,The same as before,No,No,Yes,No,No,No,No,No,0,0,35
UPS1368863045196097143,Ghana,11-19-2020,1997,23,15-24,Male,Northern,Nanumba South,Urban area [city/town],Yes,No,No,No,No,No,No,No,1,6,In my home or compound,0,The same as before,Yes,No,No,No,No,No,No,No,1,6,0
UPS-395968850633259110,Ghana,11-23-2020,1995,25,25-40,Female,Northern,Nanton,Urban area [city/town],No,Yes,No,No,No,No,No,No,2,24,I must walk to it,30,The same as before,No,Yes,No,No,No,No,No,No,2,24,30
UPS5429185412439968088,Ghana,11-23-2020,1990,30,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,2,More difficult,No,No,No,No,Yes,No,No,No,0,0,50
UPS-5060613377054002074,Ghana,11-22-2020,1991,29,25-40,Male,Brong-Ahafo,Asutifi South,Rural area [village/farm],Yes,No,No,No,No,No,No,No,6,12,Neighbor,20,The same as before,Yes,No,No,No,No,No,No,No,6,12,20
UPS4604375646504921818,Ghana,11-24-2020,1970,50,40+,Male,Northern,Nanumba South,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,15,The same as before,No,No,Yes,No,No,No,No,No,0,0,15
UPS-5760440796596331980,Ghana,11-20-2020,1984,36,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,12,The same as before,No,No,Yes,No,No,No,No,No,0,0,12
UPS-609123691284674422,Ghana,11-24-2020,1990,30,25-40,Male,Northern,Zabzugu,Rural area [village/farm],No,No,No,Yes,No,No,No,No,0,0,Neighbor,2,The same as before,No,No,No,Yes,No,No,No,No,0,0,20
UPS3671049156423498556,Ghana,11-20-2020,1992,28,25-40,Male,Volta,Ho West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,3,The same as before,Yes,No,No,No,No,No,No,No,4,4,3
UPS3171093676730249741,Ghana,11-25-2020,1988,32,25-40,Male,Northern,West Gonja,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,0
UPS1564395668957755878,Ghana,11-24-2020,1980,40,25-40,Male,Volta,Afadzato South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,50,Easier,No,No,No,Yes,No,No,No,No,0,0,1
UPS-1683113571839111545,Ghana,11-20-2020,1995,25,25-40,Male,Volta,Ho West,Rural area [village/farm],Yes,No,No,No,No,No,No,No,5,12,Neighbor,10,The same as before,Yes,No,No,No,No,No,No,No,4,15,10
UPS4587846658600915448,Ghana,11-23-2020,1995,25,25-40,Male,Volta,Ho West,Urban area [city/town],No,Yes,No,No,No,No,No,No,7,24,I must walk to it,2,The same as before,Yes,No,No,No,No,No,No,No,7,24,2
UPS-2582675467397097992,Ghana,11-19-2020,1992,28,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,80,The same as before,Yes,No,No,No,No,No,No,No,7,14,80
UPS-5585532240906640757,Ghana,11-22-2020,1998,22,15-24,Male,Brong-Ahafo,Nkoranza South,Rural area [village/farm],Yes,No,No,No,No,No,No,No,6,24,In my home or compound,300,The same as before,Yes,No,No,No,No,No,No,No,4,24,250
UPS5577745741257901856,Ghana,11-24-2020,1987,33,25-40,Female,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,Neighbor,16,More difficult,No,No,No,No,No,No,No,Yes,0,0,8
UPS7122487713023451406,Ghana,11-22-2020,1992,28,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],Yes,No,No,No,No,No,No,No,2,2,In my home or compound,50,More difficult,No,No,Yes,No,No,No,No,No,0,0,15
UPS-609206084273899977,Ghana,11-24-2020,1992,28,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,2,The same as before,No,No,No,Yes,No,No,No,No,0,0,70
UPS5388796296221202068,Ghana,11-17-2020,1990,30,25-40,Male,Volta,Afadzato South,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,200,More difficult,No,Yes,No,No,No,No,No,No,3,12,200
UPS-7613351058687388517,Ghana,11-23-2020,1988,32,25-40,Female,Volta,Ho West,Urban area [city/town],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,100,Easier,No,No,No,Yes,No,No,No,No,0,0,200
UPS-4449200344753068259,Ghana,11-24-2020,1992,28,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,63,The same as before,No,No,No,Yes,No,No,No,No,0,0,50
UPS4143314634439671959,Ghana,11-23-2020,1991,29,25-40,Female,Brong-Ahafo,Kintampo North,Urban area [city/town],No,Yes,No,No,No,No,No,No,7,20,In my home or compound,50,The same as before,No,Yes,No,No,No,No,No,No,7,20,50
UPS-6715887635822707654,Ghana,11-24-2020,1987,33,25-40,Male,Brong-Ahafo,Kintampo North,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,In my home or compound,45,More difficult,No,No,No,Yes,No,No,No,No,0,0,30
UPS-7796439589854914488,Ghana,11-19-2020,1993,27,25-40,Male,Northern,Nanumba South,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,20,More difficult,No,No,Yes,No,No,No,No,No,0,0,20
UPS-4770711335897267451,Ghana,11-24-2020,1995,25,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,40,More difficult,No,No,No,No,No,No,Yes,No,0,0,30
UPS-7220478087256663394,Ghana,11-17-2020,1988,32,25-40,Male,Brong-Ahafo,Nkoranza South,Urban area [city/town],Yes,No,No,No,No,No,No,No,7,2,Neighbor,100,The same as before,Yes,No,No,No,No,No,No,No,2,12,100
UPS4245648113571282031,Ghana,11-23-2020,1989,31,25-40,Male,Northern,Nanumba South,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,20,More difficult,No,No,No,Yes,No,No,No,No,0,0,15
UPS6258341565475717229,Ghana,11-20-2020,1983,37,25-40,Male,Volta,Afadzato South,Rural area [village/farm],Yes,No,No,No,No,No,No,No,0,3,In my home or compound,85,More difficult,Yes,No,No,No,No,No,No,No,2,4,125
UPS-7240234581621915694,Ghana,11-25-2020,1996,24,15-24,Male,Volta,Kadjebi,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,21,In my home or compound,258,The same as before,No,No,Yes,No,No,No,No,No,0,0,300
UPS-3257502134310059612,Ghana,11-21-2020,1953,67,40+,Female,Northern,West Gonja,Urban area [city/town],Yes,No,No,No,No,No,No,No,1,4,In my home or compound,439,The same as before,Yes,No,No,No,No,No,No,No,4,4,296
UPS-1889498415040120150,Ghana,11-25-2020,1989,31,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,2,The same as before,No,No,No,No,No,No,No,Yes,0,0,30
UPS-3133358825708010976,Ghana,11-25-2020,1989,31,25-40,Female,Brong-Ahafo,Kintampo North,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,100,The same as before,No,No,Yes,No,No,No,No,No,0,0,150
UPS4263309416563904162,Ghana,11-16-2020,1992,28,25-40,Male,Volta,Afadzato South,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,10,More difficult,No,No,Yes,No,No,No,No,No,0,0,5
UPS5966594760566429540,Ghana,11-17-2020,1985,35,25-40,Male,Brong-Ahafo,Nkoranza North,Rural area [village/farm],No,Yes,No,No,No,No,No,No,7,12,I must walk to it,5,The same as before,No,Yes,No,No,No,No,No,No,6,10,3
UPS3111492673206252263,Ghana,11-24-2020,1993,27,25-40,Male,Brong-Ahafo,Kintampo North,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,300,The same as before,No,No,Yes,No,No,No,No,No,0,0,300
UPS1693009478241954065,Ghana,11-16-2020,1994,26,25-40,Female,Brong-Ahafo,Nkoranza South,Urban area [city/town],No,Yes,No,No,No,No,No,No,7,20,I must walk to it,0,The same as before,No,Yes,No,No,No,No,No,No,7,20,0
UPS-6876477496561813663,Ghana,11-24-2020,1985,35,25-40,Male,Volta,Central Tongu,Rural area [village/farm],No,Yes,No,No,No,No,No,No,6,15,I must walk to it,0,More difficult,No,Yes,No,No,No,No,No,No,7,15,50
UPS8861991051568992845,Ghana,11-20-2020,1990,30,25-40,Male,Volta,Ho West,Rural area [village/farm],No,No,No,No,No,Yes,No,No,0,0,I must walk to it,200,More difficult,No,No,No,No,No,Yes,No,No,0,0,100
UPS-6438118950396373516,Ghana,11-23-2020,1984,36,25-40,Male,Brong-Ahafo,Asutifi South,Urban area [city/town],Yes,No,No,No,No,No,No,No,5,16,I must walk to it,100,The same as before,Yes,No,No,No,No,No,No,No,5,18,120
UPS-7295769785202007923,Ghana,11-23-2020,1980,40,25-40,Male,Volta,Ketu North,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,In my home or compound,60,The same as before,No,No,No,No,No,No,Yes,No,0,0,60
UPS-6779091223704659456,Ghana,11-25-2020,1991,29,25-40,Male,Northern,Zabzugu,Urban area [city/town],No,No,Yes,No,No,No,No,No,0,0,I must walk to it,100,More difficult,No,No,Yes,No,No,No,No,No,0,0,100
UPS-7669963222647465330,Ghana,11-25-2020,1990,30,25-40,Male,Northern,Nanton,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,0,The same as before,No,No,No,No,No,No,No,Yes,0,0,0
UPS-6706973752157838217,Ghana,11-23-2020,1994,26,25-40,Male,Brong-Ahafo,Dormaa West,Urban area [city/town],No,No,No,Yes,No,No,No,No,0,0,I must walk to it,12,The same as before,No,No,No,Yes,No,No,No,No,0,0,12
UPS-966295203460665818,Ghana,11-25-2020,1999,21,15-24,Female,Volta,Ho West,Rural area [village/farm],No,No,Yes,No,No,No,No,No,0,0,In my home or compound,0,The same as before,No,No,Yes,No,No,No,No,No,0,0,0
UPS-6590685127059013316,Ghana,11-18-2020,1992,28,25-40,Male,Northern,Nanumba South,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,200,The same as before,No,No,No,No,No,No,No,Yes,0,0,200
UPS2779563100450665151,Ghana,11-17-2020,1995,25,25-40,Male,Brong-Ahafo,Wenchi,Urban area [city/town],Yes,No,No,No,No,No,No,No,2,3,In my home or compound,7,The same as before,Yes,No,No,No,No,No,No,No,2,3,7
UPS3344597760223380798,Ghana,11-25-2020,1998,22,15-24,Male,Brong-Ahafo,Wenchi,Rural area [village/farm],No,No,No,No,No,No,Yes,No,0,0,I must walk to it,300,More difficult,No,No,No,No,No,No,Yes,No,0,0,300
UPS7130918247406829987,Ghana,11-17-2020,1991,29,25-40,Male,Volta,Ho West,Rural area [village/farm],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,20,The same as before,No,Yes,No,No,No,No,No,No,5,8,20
UPS-4635188299980265770,Ghana,11-24-2020,1994,26,25-40,Male,Volta,Afadzato South,Urban area [city/town],No,No,No,No,No,No,No,Yes,0,0,I must walk to it,150,More difficult,No,No,No,No,No,No,Yes,No,0,0,150
